2026-05-26T01:41:05.182+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-7] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:05 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | ComboService.getAll() | Результат: Page 1 of 1 containing com.cinema.api.dto.ComboRs instances
2026-05-26T01:41:05.210+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-10] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:05 | ВЫЗОВ МЕТОДА | ComboService.getAll() | Аргументы: [Page request [number: 0, size 10, sort: UNSORTED]]
2026-05-26T01:41:05.237+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-10] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:05 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | ComboService.getAll() | Результат: Page 1 of 1 containing com.cinema.api.dto.ComboRs instances
2026-05-26T01:41:07.244+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-1] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:07 | ВЫЗОВ МЕТОДА | MerchandiseService.getAll() | Аргументы: []
2026-05-26T01:41:07.249+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-3] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:07 | ВЫЗОВ МЕТОДА | ReceiptService.getAll() | Аргументы: [Page request [number: 0, size 10, sort: date: DESC]]
2026-05-26T01:41:07.254+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-2] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:07 | ВЫЗОВ МЕТОДА | ComboService.getAll() | Аргументы: []
2026-05-26T01:41:07.255+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-1] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:07 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | MerchandiseService.getAll() | Результат: [com.cinema.api.dto.MerchandiseRs@1d884c59, com.cinema.api.dto.MerchandiseRs@576651e, com.cinema.api.dto.MerchandiseRs@730880fb, com.cinema.api.dto.MerchandiseRs@5fd6317a, com.cinema.api.dto.MerchandiseRs@63445d]
2026-05-26T01:41:07.280+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-4] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:07 | ВЫЗОВ МЕТОДА | MerchandiseService.getAll() | Аргументы: []
2026-05-26T01:41:07.286+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-4] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:07 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | MerchandiseService.getAll() | Результат: [com.cinema.api.dto.MerchandiseRs@6f519920, com.cinema.api.dto.MerchandiseRs@3beeb81f, com.cinema.api.dto.MerchandiseRs@3036eb39, com.cinema.api.dto.MerchandiseRs@497c9915, com.cinema.api.dto.MerchandiseRs@2a079183]
2026-05-26T01:41:07.289+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-2] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:07 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | ComboService.getAll() | Результат: [com.cinema.api.dto.ComboRs@6ea8893c, com.cinema.api.dto.ComboRs@492b6311, com.cinema.api.dto.ComboRs@2bc643d3, com.cinema.api.dto.ComboRs@39eddc0d, com.cinema.api.dto.ComboRs@13264365, com.cinema.api.dto.ComboRs@10789fb]
2026-05-26T01:41:07.310+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-5] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:07 | ВЫЗОВ МЕТОДА | ComboService.getAll() | Аргументы: []
2026-05-26T01:41:07.327+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-5] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:07 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | ComboService.getAll() | Результат: [com.cinema.api.dto.ComboRs@1ac367db, com.cinema.api.dto.ComboRs@7b8d37bf, com.cinema.api.dto.ComboRs@4ce6c812, com.cinema.api.dto.ComboRs@65619796, com.cinema.api.dto.ComboRs@649dc95e, com.cinema.api.dto.ComboRs@763f2abd]
